Date,Time,Open,High,Low,Close,Vol
2/1/2020,500,3222.75,3228,3221.5,3225.25,62609
2/1/2020,1000,3225.25,3228,3225,3226.5,25939
2/1/2020,1500,3226.5,3229.25,3226.5,3228,28031
2/1/2020,3500,3228,3229,3226.25,3228.25,6198
2/1/2020,4000,3228.25,3228.5,3226.75,3227,3047
2/1/2020,4500,3227.25,3227.5,3226.25,3227,2001
2/1/2020,5000,3227,3228.5,3226.75,3228.25,2199
2/1/2020,5500,3228.5,3228.5,3227,3227.75,2460
2/1/2020,10000,3227.5,3228.25,3227,3227,1842
2/3/2020,20500,3222.75,3234.25,3222,3231.5,17166
2/3/2020,21000,3231.5,3234,3227.5,3228,6261
2/3/2020,21500,3227.75,3233,3226.25,3233,7543
2/3/2020,22000,3232.75,3234.75,3230.75,3232.5,3575
2/3/2020,22500,3232.5,3235.75,3232.25,3235,2766
2/3/2020,23000,3234.75,3236,3233.75,3234.25,3125
2/3/2020,23500,3234.5,3236.25,3232.75,3233,2720
2/3/2020,24000,3233.25,3234.75,3232.25,3234.5,1803
2/3/2020,24500,3234.75,3235.75,3233.5,3234.5,1427
2/3/2020,25000,3234.75,3235.25,3231.75,3232,2396
2/3/2020,25500,3232,3232,3229.5,3230,2239
2/3/2020,30000,3230.25,3232.25,3230,3232,2187
2/3/2020,30500,3232,3233.25,3229.75,3231.5,2932
2/3/2020,31000,3231.75,3232.75,3231,3232,1578
2/3/2020,31500,3232,3234.75,3231.25,3233.25,4139
2/3/2020,32000,3233,3233.25,3231.25,3232.25,2402
2/3/2020,32500,3232.25,3233.75,3232,3233.5,1247
2/3/2020,33000,3233.5,3234,3233,3233.5,842
2/3/2020,33500,3233.5,3234.75,3232.75,3234.75,1315
2/3/2020,34000,3234.75,3241,3234.5,3239.75,7176
2/3/2020,34500,3240,3241.25,3238,3240.5,3261
2/3/2020,35000,3240.75,3244.5,3240.5,3240.5,5911
2/3/2020,35500,3240.5,3241,3239,3240.25,2995
2/3/2020,40000,3240.25,3241.25,3238.75,3238.75,2816
2/3/2020,40500,3238.75,3239.25,3234,3235.5,7882
2/3/2020,41000,3235.5,3241,3234.25,3239.75,5579
2/3/2020,41500,3239.75,3242.25,3239,3239.5,4105
2/3/2020,42000,3239.25,3240.5,3237.5,3239,3949
2/3/2020,42500,3238.75,3240.5,3235.5,3236.5,3194
2/3/2020,43000,3236.5,3239,3235.25,3238.5,4121
2/3/2020,43500,3238.25,3246.25,3236.75,3244.75,10293
2/3/2020,44000,3244.75,3248.75,3243.75,3246.75,9813
2/3/2020,44500,3246.5,3248.25,3245.25,3245.25,3914
2/3/2020,45000,3245,3247.25,3243,3244.5,5227
2/3/2020,45500,3244.75,3247.25,3244.5,3246.5,2521
2/3/2020,50000,3246.5,3249,3244.75,3248.5,4294
2/3/2020,50500,3248.25,3250.5,3247,3247.5,5919
2/3/2020,51000,3247.5,3247.5,3244.25,3245.5,3205
2/3/2020,51500,3245.5,3245.75,3243.25,3243.25,3887
2/3/2020,52000,3243.25,3246,3242.75,3245.25,3610
2/3/2020,52500,3245.25,3246.75,3244.5,3244.75,2039
2/3/2020,53000,3244.75,3245.75,3244,3244.5,1981
2/3/2020,53500,3244.5,3245,3242.25,3242.75,2658
2/3/2020,54000,3242.75,3244.75,3242.5,3244,2131
2/3/2020,54500,3244,3244,3242.5,3243.25,1133
2/3/2020,55000,3243.25,3243.5,3240.75,3240.75,2406
2/3/2020,55500,3241,3242.25,3240.5,3242.25,1757
2/3/2020,60000,3242.25,3242.25,3240.75,3241.25,1312
2/3/2020,60500,3241.25,3243,3240,3240.25,1775
2/3/2020,61000,3240.25,3242,3240,3242,1469
2/3/2020,61500,3242,3242.5,3240.75,3242,1551
2/3/2020,62000,3242,3245,3240.75,3244,3898
2/3/2020,62500,3244,3246,3243.75,3245.75,2884
2/3/2020,63000,3245.75,3246.75,3244.75,3245.25,2135
2/3/2020,63500,3245.25,3246.75,3244.25,3246.25,1604
2/3/2020,64000,3246,3247,3245,3245,1304
2/3/2020,64500,3245,3245.5,3244.5,3244.75,559
2/3/2020,65000,3244.75,3245.75,3244,3244.5,1339
2/3/2020,65500,3244.5,3246.5,3244.25,3245.25,970
2/3/2020,70000,3245,3246,3244.75,3245.25,936
2/3/2020,70500,3245.5,3246.5,3242.75,3243,1533
2/3/2020,71000,3243,3243.75,3243,3243.5,1293
2/3/2020,71500,3243.5,3243.5,3242.75,3243,611
2/3/2020,72000,3243.25,3245,3243,3244.5,1085
2/3/2020,72500,3244.5,3244.75,3243.75,3244,448
2/3/2020,73000,3244,3245.25,3243.75,3245.25,657
2/3/2020,73500,3245,3245.25,3243.75,3244.25,498
2/3/2020,74000,3244.25,3245,3244,3244.25,564
2/3/2020,74500,3244.5,3245,3244,3244.25,638
2/3/2020,75000,3244.25,3244.75,3243.5,3244,746
2/3/2020,75500,3244,3245.25,3244,3244.75,538
